brand,domain,cms,personalization,search
Zurich,zurich.com,"Adobe Experience Manager,Drupal,Sitecore","Adobe Target,Sitecore Personalization",Unknown
Maersk,maersk.com,"Adobe Experience Manager,Sitecore","Adobe Target,Sitecore Personalization",Unknown
L'Oreal,www.loreal.co.uk,Adobe Experience Manager,Adobe Target,Unknown
Sephora,sephoracorp.com,Adobe Experience Manager,Adobe Target,Unknown
Nike,nikecompany.com,"BloomReach,Adobe Experience Manager",Adobe Target,BloomReach Search
Adidas,www.adidas.com,Adobe Experience Manager,Adobe Target,Unknown
Apple,applecorp.com,Adobe Experience Manager,Adobe Target,Unknown
Microsoft,microsoft.com,Adobe Experience Manager,Adobe Target,Unknown
Amazon,amazoncompany.com,Adobe Experience Manager,Adobe Target,Unknown
Google,google.com,Adobe Experience Manager,Adobe Target,Unknown
Samsung,samsung.co.uk,Adobe Experience Manager,Adobe Target,Unknown
Sony,sonycorp.com,Adobe Experience Manager,Adobe Target,Unknown
Walmart,www.walmart.co.uk,Adobe Experience Manager,Adobe Target,Unknown
Target,targetcompany.com,Adobe Experience Manager,Adobe Target,Unknown
Home Depot,homedepot.co.uk,Adobe Experience Manager,Adobe Target,Unknown
Best Buy,bestbuy.co.uk,Adobe Experience Manager,Adobe Target,Unknown
Costco,costco.co.uk,Adobe Experience Manager,Adobe Target,Unknown
